epoch,loss_total,loss_detection,loss_photo,lr_detector,time_sec
1,42.3708,42.1819,0.1889,0.0004,576.25
2,30.818,30.6259,0.1921,0.0007,572.43
3,26.1745,25.9936,0.1809,0.001,572.57
4,20.6088,20.4342,0.1746,0.00099974,571.25
5,16.9908,16.824,0.1668,0.00099896,572.22
6,14.5468,14.3774,0.1694,0.00099767,571.5
7,12.9829,12.8261,0.1568,0.00099585,572.68
8,11.9658,11.8098,0.156,0.00099352,572.78
9,11.1915,11.0376,0.1539,0.00099068,574.01
10,10.6399,10.4902,0.1497,0.00098733,567.61
11,10.165,10.0154,0.1496,0.00098348,571.51
12,9.8386,9.6901,0.1484,0.00097912,571.6
13,9.5496,9.4014,0.1481,0.00097426,574.07
14,9.3091,9.1615,0.1476,0.00096892,575.56
15,9.1505,9.0056,0.1449,0.00096308,575.51
16,8.9411,8.7969,0.1442,0.00095677,575.2
17,8.889,8.7421,0.1469,0.00094998,569.93
18,8.7474,8.6039,0.1435,0.00094273,573.7
19,8.5885,8.4463,0.1422,0.00093501,572.41
20,8.4922,8.3503,0.1419,0.00092685,574.94
21,8.3191,8.1779,0.1412,0.00091824,575.86
22,8.2622,8.1221,0.1401,0.0009092,576.21
