epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4212,0.91953,3.53968,1.3063,0.02444,0.85714,0.25062,0.22756,0.51869,3.93327,1.0102,0.00026361,0.00026361,0.00026361
2,20.2301,0.86597,2.92867,1.21476,0.00744,0.90195,0.32643,0.24027,0.85911,3.80844,1.25404,0.000531001,0.000531001,0.000531001
3,25.8709,0.91681,2.21858,1.23145,0.4999,0.3354,0.39417,0.31372,0.81949,3.3548,1.19982,0.000792992,0.000792992,0.000792992
4,31.5004,0.84578,1.78632,1.18784,0.514,0.50818,0.5425,0.43274,0.78825,2.84006,1.20407,0.000882003,0.000882003,0.000882003
5,37.3719,0.82348,1.52821,1.15053,0.63381,0.63217,0.68557,0.54412,0.90358,2.46192,1.30635,0.000873004,0.000873004,0.000873004
6,43.0029,0.79706,1.36355,1.1331,0.62965,0.52402,0.59317,0.41318,1.06541,2.75549,1.36394,0.000864004,0.000864004,0.000864004
7,48.5506,0.78623,1.34281,1.1348,0.53648,0.41247,0.4543,0.35436,0.80888,2.94144,1.18918,0.000855005,0.000855005,0.000855005
8,54.3895,0.74551,1.18389,1.09568,0.74194,0.61036,0.65947,0.51222,0.90073,2.42588,1.32135,0.000846006,0.000846006,0.000846006
9,59.9621,0.73353,1.14853,1.09257,0.61562,0.62698,0.65067,0.53169,0.70344,2.39228,1.09475,0.000837007,0.000837007,0.000837007
10,65.6784,0.72004,1.12417,1.09212,0.55559,0.62978,0.60469,0.51014,0.64223,2.2973,1.03505,0.000828008,0.000828008,0.000828008
11,71.2219,0.72586,1.08065,1.09085,0.81441,0.75726,0.77382,0.63131,0.79898,1.71022,1.17671,0.000819009,0.000819009,0.000819009
12,76.9328,0.69582,1.04207,1.07926,0.7705,0.78606,0.80758,0.685,0.64137,1.48197,1.03572,0.00081001,0.00081001,0.00081001
13,82.7401,0.69248,0.9594,1.06141,0.92972,0.84029,0.89681,0.80015,0.57633,1.12522,1.01436,0.000801011,0.000801011,0.000801011
14,88.6639,0.69415,0.90547,1.06305,0.86819,0.83464,0.89087,0.77313,0.64196,1.2563,1.03126,0.000792012,0.000792012,0.000792012
15,94.4087,0.68235,0.90264,1.05921,0.83466,0.84705,0.8966,0.81258,0.54629,1.16323,0.95843,0.000783013,0.000783013,0.000783013
16,100.076,0.67512,0.9059,1.05193,0.75547,0.75244,0.76753,0.6601,0.65969,1.60995,1.03874,0.000774013,0.000774013,0.000774013
17,105.636,0.6835,0.83449,1.04626,0.82892,0.73531,0.84615,0.7418,0.59202,1.32769,0.99285,0.000765014,0.000765014,0.000765014
18,111.272,0.64877,0.8331,1.05071,0.90033,0.8406,0.89216,0.79055,0.59125,1.03578,0.99515,0.000756015,0.000756015,0.000756015
19,116.928,0.65204,0.84031,1.03911,0.92846,0.88964,0.91924,0.81326,0.59902,0.9194,1.01992,0.000747016,0.000747016,0.000747016
20,122.564,0.66605,0.83781,1.0673,0.87359,0.85157,0.87707,0.77002,0.65609,1.2092,1.04199,0.000738017,0.000738017,0.000738017
21,128.186,0.65459,0.75275,1.03217,0.91679,0.89052,0.91783,0.81658,0.58461,0.96827,0.99896,0.000729018,0.000729018,0.000729018
22,133.846,0.62629,0.73409,1.02596,0.86497,0.8531,0.90228,0.81072,0.52683,0.99255,0.94213,0.000720019,0.000720019,0.000720019
23,139.632,0.65055,0.74948,1.04918,0.92214,0.92514,0.93072,0.82225,0.56014,0.78381,0.95868,0.00071102,0.00071102,0.00071102
24,145.054,0.63632,0.743,1.02976,0.94487,0.84735,0.91512,0.79444,0.60182,0.93204,1.00597,0.000702021,0.000702021,0.000702021
25,150.621,0.59353,0.71352,1.00722,0.79748,0.7944,0.84892,0.75269,0.55314,1.18723,0.9674,0.000693022,0.000693022,0.000693022
26,156.314,0.60047,0.68062,1.01157,0.94012,0.90982,0.9384,0.8477,0.51715,0.73558,0.94483,0.000684022,0.000684022,0.000684022
27,161.891,0.63367,0.72599,1.03178,0.8478,0.86543,0.89853,0.80405,0.53423,0.9378,0.93926,0.000675023,0.000675023,0.000675023
28,167.564,0.60534,0.6785,1.02797,0.94638,0.92679,0.94051,0.84958,0.52099,0.68126,0.93402,0.000666024,0.000666024,0.000666024
29,173.168,0.60095,0.64059,1.02225,0.8959,0.87279,0.92733,0.84701,0.51219,0.79676,0.93219,0.000657025,0.000657025,0.000657025
30,178.695,0.59446,0.63901,1.02126,0.91056,0.91249,0.9296,0.84268,0.51847,0.68517,0.94041,0.000648026,0.000648026,0.000648026
31,184.269,0.57464,0.61495,1.00232,0.93302,0.91374,0.94063,0.86745,0.504,0.63894,0.92038,0.000639027,0.000639027,0.000639027
32,189.896,0.6001,0.64878,1.02687,0.95047,0.89169,0.94224,0.85531,0.51837,0.6568,0.94346,0.000630028,0.000630028,0.000630028
33,195.699,0.57024,0.59988,1.00385,0.89082,0.91408,0.92853,0.83808,0.5198,0.65899,0.94445,0.000621029,0.000621029,0.000621029
34,201.303,0.57121,0.5947,0.99308,0.96198,0.91557,0.93674,0.85554,0.5151,0.61768,0.94805,0.00061203,0.00061203,0.00061203
35,206.847,0.57655,0.59008,0.99845,0.91604,0.94457,0.94976,0.86658,0.51967,0.60325,0.94058,0.000603031,0.000603031,0.000603031
36,212.46,0.57046,0.56898,0.99237,0.96746,0.88933,0.92928,0.84282,0.51159,0.6471,0.95604,0.000594031,0.000594031,0.000594031
37,218.058,0.55059,0.56135,0.98614,0.95013,0.88194,0.92154,0.84832,0.49926,0.69708,0.94953,0.000585032,0.000585032,0.000585032
38,223.617,0.56022,0.56262,0.99701,0.92281,0.89614,0.93291,0.84896,0.50657,0.65017,0.96416,0.000576033,0.000576033,0.000576033
39,229.075,0.55603,0.56072,0.99125,0.86519,0.89935,0.92712,0.83632,0.5204,0.77219,0.95962,0.000567034,0.000567034,0.000567034
40,234.594,0.5631,0.56242,0.99425,0.9598,0.94566,0.95069,0.87015,0.52646,0.57678,0.94178,0.000558035,0.000558035,0.000558035
41,240.102,0.56121,0.56415,1.01046,0.94288,0.90811,0.94442,0.86216,0.49812,0.62607,0.93209,0.000549036,0.000549036,0.000549036
42,245.919,0.54808,0.55563,0.98811,0.95513,0.92221,0.94661,0.86076,0.47767,0.60261,0.91922,0.000540037,0.000540037,0.000540037
43,251.49,0.53064,0.53172,0.98087,0.95866,0.9257,0.94641,0.88066,0.45671,0.56441,0.90599,0.000531038,0.000531038,0.000531038
44,257.165,0.53124,0.52386,0.97149,0.77295,0.85477,0.84937,0.76943,0.52565,1.00411,0.95455,0.000522039,0.000522039,0.000522039
45,262.743,0.54569,0.54056,0.98327,0.94809,0.93927,0.94221,0.87215,0.48038,0.52236,0.91824,0.00051304,0.00051304,0.00051304
46,268.319,0.54312,0.52946,0.98483,0.97582,0.93442,0.94277,0.86121,0.50797,0.51791,0.9205,0.00050404,0.00050404,0.00050404
47,273.811,0.55451,0.52327,0.99746,0.96507,0.93799,0.95244,0.87438,0.48038,0.53101,0.90926,0.000495041,0.000495041,0.000495041
48,279.396,0.53198,0.5134,0.9858,0.9577,0.94742,0.95174,0.87276,0.49966,0.52513,0.93276,0.000486042,0.000486042,0.000486042
49,284.917,0.56025,0.49608,0.98934,0.96195,0.93001,0.95496,0.8778,0.48672,0.52053,0.92452,0.000477043,0.000477043,0.000477043
50,290.46,0.51678,0.4783,0.96842,0.98126,0.92938,0.95413,0.87691,0.45872,0.47932,0.91492,0.000468044,0.000468044,0.000468044
51,296.026,0.52421,0.47814,0.96273,0.97002,0.92697,0.95065,0.87639,0.47627,0.4861,0.91508,0.000459045,0.000459045,0.000459045
52,301.846,0.52027,0.49222,0.9814,0.96647,0.92961,0.94955,0.87755,0.48705,0.49026,0.91627,0.000450046,0.000450046,0.000450046
53,307.454,0.51143,0.47933,0.97823,0.93471,0.93323,0.94854,0.8785,0.46197,0.52124,0.89873,0.000441047,0.000441047,0.000441047
54,313.118,0.51456,0.47786,0.97494,0.9642,0.92921,0.95089,0.88015,0.44999,0.49078,0.90081,0.000432048,0.000432048,0.000432048
55,318.656,0.50193,0.47815,0.96909,0.92405,0.93372,0.94446,0.86118,0.48813,0.51719,0.93496,0.000423049,0.000423049,0.000423049
56,324.244,0.51191,0.4451,0.96596,0.9536,0.93577,0.95106,0.87775,0.48758,0.45999,0.90173,0.000414049,0.000414049,0.000414049
57,329.833,0.523,0.46408,0.97894,0.93876,0.9318,0.94782,0.86525,0.49871,0.47768,0.90862,0.00040505,0.00040505,0.00040505
58,335.434,0.49327,0.45007,0.96231,0.94413,0.91704,0.94096,0.88543,0.46533,0.49267,0.90842,0.000396051,0.000396051,0.000396051
59,341.052,0.49611,0.44892,0.97945,0.94717,0.94481,0.95268,0.88737,0.46047,0.4477,0.90642,0.000387052,0.000387052,0.000387052
60,346.673,0.47626,0.43419,0.95153,0.97432,0.93866,0.9525,0.88139,0.49224,0.45461,0.91981,0.000378053,0.000378053,0.000378053
61,352.467,0.4937,0.45327,0.95632,0.97809,0.93213,0.94491,0.87854,0.46839,0.45346,0.91689,0.000369054,0.000369054,0.000369054
62,357.981,0.4839,0.41519,0.95581,0.97682,0.94095,0.95199,0.8913,0.45433,0.44002,0.90992,0.000360055,0.000360055,0.000360055
63,363.513,0.48722,0.42631,0.96539,0.96983,0.94247,0.96146,0.89267,0.45373,0.42952,0.88764,0.000351056,0.000351056,0.000351056
64,369.124,0.48843,0.43626,0.9614,0.97183,0.94501,0.95436,0.886,0.44487,0.41664,0.88919,0.000342057,0.000342057,0.000342057
65,374.659,0.49313,0.44359,0.96571,0.9675,0.93442,0.94466,0.87975,0.45671,0.43841,0.90276,0.000333058,0.000333058,0.000333058
66,380.231,0.4591,0.42055,0.94518,0.96376,0.93562,0.94345,0.86675,0.46571,0.43425,0.9101,0.000324058,0.000324058,0.000324058
67,385.728,0.46325,0.41065,0.95,0.95955,0.92483,0.95339,0.87661,0.4831,0.48546,0.91843,0.000315059,0.000315059,0.000315059
68,391.288,0.47817,0.41872,0.95022,0.97474,0.94479,0.95297,0.88608,0.47063,0.43729,0.91476,0.00030606,0.00030606,0.00030606
69,397.08,0.47283,0.44697,0.95491,0.96615,0.94049,0.95341,0.88979,0.43823,0.44622,0.89098,0.000297061,0.000297061,0.000297061
70,402.588,0.4687,0.43372,0.95674,0.9803,0.94805,0.95497,0.89488,0.42926,0.43524,0.87973,0.000288062,0.000288062,0.000288062
71,408.147,0.45822,0.39235,0.94791,0.97176,0.94175,0.95316,0.88459,0.45421,0.43498,0.88754,0.000279063,0.000279063,0.000279063
72,413.743,0.46699,0.42231,0.96212,0.97902,0.94068,0.95447,0.88833,0.43973,0.41522,0.89662,0.000270064,0.000270064,0.000270064
73,419.263,0.47852,0.44746,0.95824,0.97092,0.93566,0.95319,0.88902,0.45693,0.45638,0.90486,0.000261065,0.000261065,0.000261065
74,424.76,0.45024,0.39754,0.95051,0.97054,0.93898,0.95529,0.89532,0.43549,0.44854,0.88807,0.000252066,0.000252066,0.000252066
75,430.372,0.45268,0.39064,0.9432,0.97527,0.94423,0.95639,0.89257,0.43527,0.43399,0.88535,0.000243067,0.000243067,0.000243067
76,435.965,0.44882,0.39414,0.94654,0.97303,0.93829,0.9567,0.89358,0.43568,0.41667,0.88096,0.000234068,0.000234068,0.000234068
77,441.528,0.43419,0.38402,0.92996,0.98303,0.94356,0.95983,0.89542,0.44208,0.40143,0.88489,0.000225068,0.000225068,0.000225068
78,447.434,0.4409,0.36234,0.93758,0.9912,0.94302,0.95805,0.8928,0.43087,0.3979,0.89156,0.000216069,0.000216069,0.000216069
79,452.94,0.42047,0.35838,0.92397,0.97293,0.94874,0.95383,0.88636,0.43942,0.41669,0.89413,0.00020707,0.00020707,0.00020707
