epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.5933,0.94112,3.4113,1.33984,0.00574,0.85714,0.23357,0.20356,0.69911,3.72848,1.11708,0.00026361,0.00026361,0.00026361
2,10.8996,0.88725,2.64852,1.24608,0.41519,0.51627,0.3701,0.29943,0.81107,2.85509,1.14069,0.000531001,0.000531001,0.000531001
3,16.0919,0.83717,2.09425,1.18026,0.60933,0.5047,0.61424,0.45477,0.93045,2.82101,1.22809,0.000792992,0.000792992,0.000792992
4,21.3666,0.85153,1.75787,1.20214,0.52006,0.67658,0.62832,0.50497,0.75839,2.65418,1.1056,0.000882003,0.000882003,0.000882003
5,26.5134,0.79594,1.55936,1.14501,0.65619,0.74339,0.74229,0.61124,0.7558,2.15611,1.12266,0.000873004,0.000873004,0.000873004
6,31.7639,0.767,1.36447,1.11273,0.73835,0.73957,0.78585,0.64262,0.77027,1.94888,1.10834,0.000864004,0.000864004,0.000864004
7,36.9914,0.79976,1.34744,1.13267,0.75439,0.79009,0.86384,0.70614,0.7552,1.73405,1.07448,0.000855005,0.000855005,0.000855005
8,42.1017,0.77153,1.25004,1.11867,0.87928,0.78316,0.90344,0.74006,0.74427,1.53854,1.07896,0.000846006,0.000846006,0.000846006
9,47.3386,0.79545,1.21255,1.13847,0.75538,0.71451,0.80277,0.68201,0.75609,1.80367,1.06645,0.000837007,0.000837007,0.000837007
10,52.5258,0.71032,1.09561,1.09233,0.90998,0.884,0.9261,0.78665,0.72373,1.2421,1.07358,0.000828008,0.000828008,0.000828008
11,57.7636,0.71655,1.06089,1.09156,0.83065,0.8617,0.9146,0.7712,0.69174,1.4719,1.01864,0.000819009,0.000819009,0.000819009
12,63.1241,0.69678,0.98582,1.08863,0.95878,0.91469,0.95262,0.81778,0.66123,1.13765,1.0069,0.00081001,0.00081001,0.00081001
13,68.3277,0.7138,0.97991,1.07644,0.90594,0.89352,0.95557,0.8097,0.7073,1.23607,1.03796,0.000801011,0.000801011,0.000801011
