condition,num_samples,has_real_tears,accuracy_denom,banknote_avg_iou,banknote_map50,banknote_map50_95,banknote_miss_rate,binary_tear_acc,false_alarm_rate,torn_precision,torn_recall,torn_f1,mAP50_tear,mAP50_95_tear,avg_IoU_tear,miss_rate_tear
indoor,120,False,49.17,86.03,94.17,81.02,4.17,73.33,26.67,0.0,0.0,0.0,,,,
outdoor,350,False,40.0,85.9,87.43,75.11,9.71,79.43,20.57,0.0,0.0,0.0,,,,
backlight,274,False,40.88,85.64,92.7,79.39,5.84,69.34,30.66,0.0,0.0,0.0,,,,
overexposed,274,False,39.78,84.96,93.8,79.69,5.11,64.96,35.04,0.0,0.0,0.0,,,,
torn_clean,60,True,25.0,82.64,95.0,78.51,3.33,66.67,0.0,100.0,66.67,80.0,51.56,39.24,76.11,48.44
torn_bright,188,True,33.51,82.45,86.17,71.04,9.04,78.19,0.0,100.0,78.19,87.76,55.67,44.36,79.68,44.33
