epoch,loss_total,loss_detection,loss_photo,lr_detector,time_sec
1,41.5963,41.4003,0.196,0.0004,570.09
2,31.2589,31.0884,0.1706,0.0007,568.23
3,27.1211,26.9597,0.1614,0.001,566.19
4,20.9012,20.7483,0.1529,0.00099974,555.17
5,16.8878,16.733,0.1548,0.00099896,551.78
6,14.4841,14.3349,0.1493,0.00099767,550.89
7,13.0465,12.8957,0.1507,0.00099585,551.02
8,11.9608,11.8117,0.1491,0.00099352,553.82
9,11.1238,10.9773,0.1464,0.00099068,552.78
10,10.6596,10.5157,0.144,0.00098733,553.07
11,10.1472,10.0042,0.143,0.00098348,552.65
12,9.7691,9.6276,0.1416,0.00097912,554.92
13,9.4624,9.3211,0.1413,0.00097426,555.26
14,9.2549,9.1124,0.1425,0.00096892,553.72
