epoch,loss_total,loss_detection,loss_photo,lr_detector,time_sec
1,44.6596,44.4482,0.2114,0.0004,575.9
2,32.4663,32.2489,0.2175,0.0007,578.68
3,27.8834,27.6649,0.2185,0.001,578.41
4,21.3116,21.1017,0.2099,0.00099974,576.5
5,17.0301,16.8254,0.2048,0.00099896,578.99
6,14.6824,14.4826,0.1998,0.00099767,576.78
7,13.063,12.8655,0.1975,0.00099585,577.48
8,12.0806,11.8948,0.1859,0.00099352,575.83
9,11.22,11.0421,0.1779,0.00099068,575.2
10,10.6289,10.4577,0.1712,0.00098733,576.71
11,10.1441,9.9793,0.1648,0.00098348,574.62
12,9.8349,9.6695,0.1654,0.00097912,574.05
13,9.5504,9.3898,0.1606,0.00097426,574.04
14,9.2667,9.1108,0.1559,0.00096892,577.35
15,9.1495,8.996,0.1535,0.00096308,577.38
16,9.1227,8.9685,0.1542,0.00095677,576.55
17,8.854,8.7029,0.1511,0.00094998,570.64
