epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.61387,0.92678,3.45043,1.32277,0.00497,0.85714,0.26595,0.23614,0.61004,3.70101,1.0792,0.00026361,0.00026361,0.00026361
2,11.0244,0.88383,2.66147,1.26791,0.48378,0.45,0.326,0.28465,0.73983,2.99145,1.12735,0.000531001,0.000531001,0.000531001
3,16.1612,0.84797,2.15443,1.21488,0.49968,0.55023,0.5001,0.40686,0.78347,2.86392,1.14919,0.000792992,0.000792992,0.000792992
4,21.36,0.85356,1.82845,1.19945,0.61481,0.69078,0.65689,0.53839,0.78019,2.45527,1.22166,0.000882003,0.000882003,0.000882003
5,26.4839,0.83638,1.5723,1.16328,0.70257,0.62739,0.68505,0.52375,0.96963,2.48078,1.35043,0.000873004,0.000873004,0.000873004
6,31.5846,0.83193,1.43229,1.15469,0.76116,0.83035,0.8865,0.71531,0.77969,1.69078,1.16461,0.000864004,0.000864004,0.000864004
7,36.7235,0.81377,1.32858,1.14212,0.85473,0.69295,0.81033,0.66774,0.71668,1.79112,1.11333,0.000855005,0.000855005,0.000855005
8,41.8452,0.74959,1.19683,1.10909,0.78007,0.80313,0.82831,0.67927,0.76231,1.71034,1.15473,0.000846006,0.000846006,0.000846006
9,46.9347,0.78045,1.17052,1.12037,0.86731,0.89919,0.9452,0.79096,0.72732,1.35547,1.07621,0.000837007,0.000837007,0.000837007
10,52.082,0.7253,1.12092,1.09326,0.88627,0.81238,0.90804,0.74535,0.73488,1.45338,1.11762,0.000828008,0.000828008,0.000828008
11,57.1286,0.74282,1.07049,1.09592,0.90955,0.91948,0.9527,0.78136,0.67973,1.19204,1.08414,0.000819009,0.000819009,0.000819009
12,62.175,0.69725,0.98549,1.08482,0.95733,0.93547,0.95822,0.84407,0.60427,1.03866,1.0091,0.00081001,0.00081001,0.00081001
13,67.2649,0.68648,0.9479,1.05328,0.91659,0.96203,0.96696,0.85193,0.56492,0.93143,0.97693,0.000801011,0.000801011,0.000801011
14,72.284,0.70071,0.94634,1.06251,0.92793,0.86202,0.95209,0.7971,0.63043,1.07464,1.02614,0.000792012,0.000792012,0.000792012
15,77.2849,0.69646,0.90929,1.06353,0.94034,0.9214,0.95736,0.84027,0.58605,0.91996,0.99332,0.000783013,0.000783013,0.000783013
16,82.3424,0.69794,0.89315,1.06786,0.8898,0.86872,0.93361,0.80552,0.60867,0.99896,1.02438,0.000774013,0.000774013,0.000774013
17,87.4061,0.66874,0.85294,1.04391,0.89553,0.84311,0.94846,0.81811,0.59886,1.00091,1.02824,0.000765014,0.000765014,0.000765014
18,92.4854,0.66854,0.8663,1.06603,0.95512,0.90723,0.97153,0.86362,0.56021,0.86342,0.97836,0.000756015,0.000756015,0.000756015
19,97.5632,0.63906,0.80993,1.0382,0.79532,0.84895,0.86301,0.74598,0.61141,1.28554,1.01205,0.000747016,0.000747016,0.000747016
20,102.641,0.65663,0.80332,1.05316,0.95225,0.87222,0.95234,0.85629,0.53958,0.81336,0.96226,0.000738017,0.000738017,0.000738017
21,107.715,0.66863,0.81616,1.05196,0.81329,0.84084,0.94353,0.84054,0.53745,0.99034,0.97477,0.000729018,0.000729018,0.000729018
22,112.733,0.60521,0.70361,1.01756,0.94789,0.90451,0.95114,0.84079,0.57482,0.78258,0.98307,0.000720019,0.000720019,0.000720019
23,117.768,0.62883,0.72337,1.03628,0.95126,0.90529,0.96644,0.86547,0.53338,0.70246,0.96228,0.00071102,0.00071102,0.00071102
24,122.821,0.60752,0.70893,1.02352,0.90712,0.93922,0.96673,0.85264,0.55675,0.70072,0.97479,0.000702021,0.000702021,0.000702021
25,127.889,0.62917,0.72136,1.03236,0.9316,0.97374,0.97422,0.85217,0.57516,0.65981,0.98545,0.000693022,0.000693022,0.000693022
26,132.944,0.5987,0.67593,1.0231,0.93914,0.92245,0.95795,0.84623,0.56393,0.71557,0.96717,0.000684022,0.000684022,0.000684022
27,137.931,0.60559,0.68777,1.02817,0.94624,0.93092,0.97547,0.84408,0.59655,0.66988,0.98281,0.000675023,0.000675023,0.000675023
28,143.034,0.60645,0.67463,1.03126,0.95763,0.93738,0.97262,0.89174,0.50741,0.62586,0.93625,0.000666024,0.000666024,0.000666024
29,148.065,0.62452,0.68081,1.03077,0.92211,0.93411,0.97175,0.86313,0.53054,0.63618,0.95409,0.000657025,0.000657025,0.000657025
30,153.09,0.59324,0.63117,1.02115,0.93397,0.95576,0.97775,0.87784,0.52862,0.59647,0.95393,0.000648026,0.000648026,0.000648026
31,158.138,0.58961,0.62386,1.00977,0.96417,0.98116,0.98093,0.89651,0.50157,0.56413,0.93374,0.000639027,0.000639027,0.000639027
32,163.153,0.57209,0.61195,1.01243,0.96988,0.96435,0.97702,0.87245,0.50237,0.52749,0.93461,0.000630028,0.000630028,0.000630028
33,168.152,0.59232,0.60018,1.00924,0.91983,0.90547,0.94868,0.85133,0.51994,0.71163,0.94861,0.000621029,0.000621029,0.000621029
34,173.155,0.56557,0.56671,0.98321,0.94348,0.9179,0.9371,0.82882,0.54637,0.66443,0.9664,0.00061203,0.00061203,0.00061203
35,178.191,0.57278,0.5529,1.00504,0.95631,0.88838,0.96224,0.84696,0.54374,0.59948,0.96346,0.000603031,0.000603031,0.000603031
36,183.219,0.56915,0.58593,0.9938,0.96368,0.96843,0.97755,0.88124,0.5108,0.51957,0.93358,0.000594031,0.000594031,0.000594031
37,188.317,0.57631,0.5907,1.00957,0.84189,0.91426,0.96303,0.86073,0.54015,0.66522,0.96001,0.000585032,0.000585032,0.000585032
38,193.336,0.56032,0.55738,0.99947,0.94516,0.92314,0.97787,0.87341,0.53911,0.58399,0.95126,0.000576033,0.000576033,0.000576033
39,198.375,0.5372,0.51857,0.99212,0.96087,0.94472,0.97056,0.8789,0.51086,0.51672,0.93121,0.000567034,0.000567034,0.000567034
40,203.48,0.53216,0.50508,0.97192,0.98567,0.96361,0.98043,0.90499,0.47058,0.46016,0.91253,0.000558035,0.000558035,0.000558035
41,208.498,0.53771,0.52395,0.99806,0.918,0.89797,0.96226,0.87537,0.47071,0.61179,0.91992,0.000549036,0.000549036,0.000549036
42,213.563,0.55685,0.55475,0.99472,0.97501,0.96136,0.98144,0.8963,0.47648,0.44463,0.92245,0.000540037,0.000540037,0.000540037
43,218.61,0.53387,0.51223,0.98945,0.98396,0.96,0.97412,0.88405,0.49158,0.46585,0.93386,0.000531038,0.000531038,0.000531038
44,223.683,0.52007,0.49145,0.97802,0.97908,0.96676,0.97846,0.89621,0.48504,0.45274,0.92329,0.000522039,0.000522039,0.000522039
45,228.732,0.53529,0.50442,0.98748,0.97143,0.97073,0.98014,0.90078,0.4558,0.42709,0.90518,0.00051304,0.00051304,0.00051304
