epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.99512,0.95506,3.49353,1.3261,0.00499,0.85,0.24504,0.21148,0.62441,3.78028,1.0937,0.00026361,0.00026361,0.00026361
2,12.1762,0.86087,2.69991,1.22306,0.37194,0.13764,0.30359,0.2379,0.78287,3.25571,1.16802,0.000531001,0.000531001,0.000531001
3,17.2206,0.86733,2.15804,1.20785,0.61105,0.51961,0.5336,0.4028,0.9107,2.74406,1.25878,0.000792992,0.000792992,0.000792992
4,22.3625,0.82085,1.76613,1.16674,0.63287,0.56636,0.5707,0.44405,0.87573,2.69416,1.24783,0.000882003,0.000882003,0.000882003
5,27.5675,0.82478,1.54971,1.13999,0.79342,0.69551,0.779,0.57138,0.975,2.24589,1.34899,0.000873004,0.000873004,0.000873004
6,32.6948,0.78837,1.35373,1.11571,0.764,0.76983,0.79506,0.64642,0.78778,2.03161,1.16579,0.000864004,0.000864004,0.000864004
7,37.6707,0.80725,1.35656,1.14149,0.68857,0.67245,0.70415,0.59122,0.73021,2.0931,1.1026,0.000855005,0.000855005,0.000855005
8,42.6347,0.74935,1.19373,1.10122,0.79274,0.71369,0.81609,0.68717,0.75339,1.79525,1.12167,0.000846006,0.000846006,0.000846006
9,47.6926,0.73721,1.15445,1.08745,0.66255,0.69107,0.7613,0.62764,0.77603,2.01955,1.14546,0.000837007,0.000837007,0.000837007
10,52.8326,0.70777,1.102,1.07538,0.83637,0.79778,0.86113,0.7281,0.67205,1.50801,1.05425,0.000828008,0.000828008,0.000828008
11,58.0133,0.72025,1.06774,1.08051,0.86586,0.88217,0.90734,0.75002,0.6831,1.24238,1.071,0.000819009,0.000819009,0.000819009
12,63.1763,0.68739,0.98636,1.07385,0.90015,0.86562,0.9197,0.7889,0.66728,1.34654,1.03147,0.00081001,0.00081001,0.00081001
13,68.3425,0.67766,0.93177,1.04829,0.90567,0.8974,0.91883,0.77755,0.67847,1.1243,1.04911,0.000801011,0.000801011,0.000801011
14,73.4698,0.69639,0.90005,1.06534,0.87118,0.85699,0.90782,0.77297,0.68029,1.15979,1.03825,0.000792012,0.000792012,0.000792012
15,78.5397,0.6869,0.86111,1.0566,0.81112,0.68492,0.7907,0.69996,0.64814,1.6,1.04068,0.000783013,0.000783013,0.000783013
16,83.6762,0.68608,0.8986,1.05952,0.80195,0.84368,0.86946,0.72942,0.69302,1.29736,1.07277,0.000774013,0.000774013,0.000774013
17,88.7576,0.66363,0.80705,1.03353,0.88271,0.87561,0.92249,0.80863,0.61767,0.9251,1.00996,0.000765014,0.000765014,0.000765014
18,93.8295,0.64746,0.8088,1.04302,0.92406,0.9007,0.93284,0.81033,0.6578,0.90377,1.0279,0.000756015,0.000756015,0.000756015
19,98.9375,0.64161,0.75247,1.02884,0.91427,0.89173,0.92213,0.79282,0.63521,0.91046,1.03388,0.000747016,0.000747016,0.000747016
20,103.999,0.65497,0.7976,1.05344,0.90085,0.88836,0.91585,0.78579,0.62153,0.91952,1.01345,0.000738017,0.000738017,0.000738017
21,109.084,0.62798,0.73392,1.02197,0.90495,0.83444,0.92282,0.80671,0.62863,0.90032,1.02852,0.000729018,0.000729018,0.000729018
