epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95937,0.98715,3.10553,1.36664,0.58845,0.71075,0.64923,0.58177,0.65716,3.01934,1.06567,0.00026361,0.00026361,0.00026361
2,17.7138,0.80686,1.70047,1.17242,0.5824,0.64934,0.67477,0.52057,0.89146,2.97389,1.18501,0.000531001,0.000531001,0.000531001
3,26.3097,0.80706,1.2419,1.14507,0.49878,0.6539,0.5943,0.37187,1.48055,2.2268,1.95666,0.000792992,0.000792992,0.000792992
4,34.9482,0.83262,1.06999,1.17288,0.56643,0.62491,0.67933,0.52613,0.8879,1.93157,1.23256,0.000882003,0.000882003,0.000882003
5,43.4849,0.79294,1.01427,1.13348,0.79597,0.57696,0.7569,0.5807,0.94876,2.79572,1.31334,0.000873004,0.000873004,0.000873004
6,51.987,0.7781,0.92732,1.11117,0.74486,0.69527,0.79187,0.64252,0.74765,1.58595,1.09524,0.000864004,0.000864004,0.000864004
7,60.7363,0.80661,0.91607,1.13873,0.83002,0.83208,0.87741,0.69903,0.7834,1.09551,1.09631,0.000855005,0.000855005,0.000855005
8,70.2162,0.76548,0.85007,1.10815,0.70746,0.77329,0.83307,0.68046,0.76824,1.22658,1.08078,0.000846006,0.000846006,0.000846006
9,78.8231,0.79634,0.85518,1.12412,0.86716,0.85108,0.91212,0.76539,0.74076,0.88556,1.05938,0.000837007,0.000837007,0.000837007
10,87.5924,0.73764,0.76831,1.10268,0.8655,0.86164,0.90826,0.73877,0.70729,0.80697,1.03983,0.000828008,0.000828008,0.000828008
11,96.2221,0.72069,0.77932,1.08943,0.89218,0.89116,0.93783,0.77346,0.7157,0.77926,1.06686,0.000819009,0.000819009,0.000819009
12,104.982,0.7174,0.72068,1.09975,0.94011,0.92987,0.96058,0.83688,0.63214,0.58201,0.97259,0.00081001,0.00081001,0.00081001
13,113.737,0.71059,0.69015,1.06504,0.79623,0.69398,0.79536,0.67867,0.65304,1.12573,0.98649,0.000801011,0.000801011,0.000801011
14,122.482,0.69961,0.69566,1.07421,0.91776,0.86971,0.88949,0.74274,0.71053,0.76395,1.04633,0.000792012,0.000792012,0.000792012
15,131.24,0.6932,0.72062,1.07895,0.91934,0.887,0.92063,0.79054,0.63381,0.69681,0.99855,0.000783013,0.000783013,0.000783013
16,139.974,0.68246,0.72637,1.08888,0.85585,0.87923,0.93663,0.80193,0.63146,0.78088,0.99013,0.000774013,0.000774013,0.000774013
17,148.659,0.65878,0.66051,1.06247,0.94388,0.93964,0.96758,0.83385,0.62714,0.54029,0.99653,0.000765014,0.000765014,0.000765014
18,157.351,0.69912,0.64459,1.08948,0.92311,0.91938,0.97507,0.85674,0.58595,0.52883,0.95571,0.000756015,0.000756015,0.000756015
19,166.12,0.64187,0.6283,1.04651,0.93751,0.9525,0.9693,0.83598,0.60195,0.53555,0.96625,0.000747016,0.000747016,0.000747016
20,174.806,0.65567,0.57287,1.0586,0.95467,0.94288,0.96767,0.83649,0.62049,0.53833,0.97252,0.000738017,0.000738017,0.000738017
21,183.502,0.6581,0.57696,1.04823,0.97444,0.90843,0.96927,0.86149,0.56653,0.52954,0.94712,0.000729018,0.000729018,0.000729018
22,192.592,0.63229,0.57361,1.03675,0.92679,0.9176,0.96392,0.85444,0.55523,0.59306,0.93931,0.000720019,0.000720019,0.000720019
23,201.328,0.6233,0.57387,1.04053,0.94263,0.94061,0.9762,0.87029,0.54681,0.4993,0.92522,0.00071102,0.00071102,0.00071102
24,210.184,0.62015,0.55836,1.03316,0.97657,0.95587,0.97712,0.86926,0.55012,0.43867,0.92791,0.000702021,0.000702021,0.000702021
25,218.939,0.59542,0.54591,1.01747,0.94296,0.95918,0.96749,0.86731,0.55617,0.43209,0.95112,0.000693022,0.000693022,0.000693022
26,227.7,0.58979,0.55934,1.02429,0.977,0.955,0.97958,0.87544,0.53902,0.4603,0.9375,0.000684022,0.000684022,0.000684022
27,236.627,0.60047,0.61151,1.03082,0.95782,0.95579,0.97119,0.86902,0.55877,0.48046,0.94121,0.000675023,0.000675023,0.000675023
28,245.403,0.6043,0.55499,1.03234,0.95044,0.95611,0.97384,0.86959,0.55318,0.43559,0.9366,0.000666024,0.000666024,0.000666024
29,254.156,0.59865,0.5227,1.0238,0.96694,0.94882,0.98109,0.86384,0.53986,0.4485,0.92695,0.000657025,0.000657025,0.000657025
30,262.928,0.5735,0.50049,1.00651,0.95806,0.94164,0.97721,0.8638,0.55021,0.47782,0.92105,0.000648026,0.000648026,0.000648026
31,271.751,0.56847,0.49837,0.99985,0.9497,0.95772,0.96757,0.88307,0.49641,0.42599,0.89201,0.000639027,0.000639027,0.000639027
32,280.634,0.59087,0.56002,1.02217,0.97043,0.92968,0.97604,0.86527,0.56662,0.46113,0.9493,0.000630028,0.000630028,0.000630028
33,289.348,0.58151,0.5064,1.00798,0.98049,0.96125,0.98075,0.87726,0.52942,0.39333,0.91277,0.000621029,0.000621029,0.000621029
34,298.166,0.56893,0.48746,0.99181,0.98141,0.98024,0.988,0.89244,0.49388,0.36675,0.89746,0.00061203,0.00061203,0.00061203
35,307.254,0.53154,0.47023,0.98679,0.97154,0.94631,0.97842,0.88086,0.51078,0.40305,0.89924,0.000603031,0.000603031,0.000603031
36,316.083,0.52801,0.44376,0.97694,0.96515,0.95844,0.97812,0.87948,0.50004,0.40743,0.89508,0.000594031,0.000594031,0.000594031
37,324.872,0.52404,0.42934,0.97997,0.9745,0.97194,0.98394,0.88647,0.48521,0.3703,0.89457,0.000585032,0.000585032,0.000585032
38,333.698,0.53187,0.47094,0.99436,0.96949,0.96308,0.98226,0.89516,0.49099,0.39675,0.89844,0.000576033,0.000576033,0.000576033
39,342.57,0.51823,0.43328,0.97169,0.95572,0.97314,0.98174,0.88577,0.49219,0.39561,0.89462,0.000567034,0.000567034,0.000567034
40,351.349,0.55835,0.46861,0.98799,0.95611,0.96561,0.98334,0.89387,0.50673,0.37465,0.89551,0.000558035,0.000558035,0.000558035
41,360.039,0.55585,0.47693,1.01694,0.96405,0.95931,0.98502,0.89084,0.50923,0.3769,0.89548,0.000549036,0.000549036,0.000549036
42,368.835,0.53625,0.44823,0.9953,0.97827,0.95554,0.98048,0.89593,0.47391,0.37826,0.87104,0.000540037,0.000540037,0.000540037
43,377.745,0.51359,0.42699,0.98318,0.98525,0.97403,0.98307,0.90237,0.45542,0.33313,0.86751,0.000531038,0.000531038,0.000531038
44,386.685,0.50702,0.41252,0.97343,0.98864,0.97432,0.98362,0.8952,0.49674,0.35709,0.8863,0.000522039,0.000522039,0.000522039
45,395.515,0.50764,0.44563,0.9801,0.96625,0.94537,0.98215,0.89558,0.49233,0.4034,0.89041,0.00051304,0.00051304,0.00051304
