epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.72405,0.95173,3.41242,1.32566,0.00686,0.86047,0.25428,0.2101,0.55628,3.80402,0.99799,0.00026361,0.00026361,0.00026361
2,11.0849,0.90153,2.67628,1.2696,0.41223,0.51168,0.36348,0.28555,0.85282,3.08415,1.23467,0.000531001,0.000531001,0.000531001
3,16.2676,0.84485,2.17193,1.2082,0.5415,0.35035,0.50029,0.38634,0.8233,3.05299,1.17342,0.000792992,0.000792992,0.000792992
4,21.4862,0.84623,1.82298,1.19379,0.58264,0.57382,0.49428,0.35504,0.99518,3.23116,1.32718,0.000882003,0.000882003,0.000882003
5,26.5694,0.85886,1.53296,1.18228,0.62556,0.66092,0.68042,0.52585,0.84098,2.44569,1.21849,0.000873004,0.000873004,0.000873004
6,31.7822,0.80821,1.38528,1.13496,0.59348,0.61454,0.66131,0.50229,0.85475,2.25548,1.16058,0.000864004,0.000864004,0.000864004
7,36.8876,0.78498,1.28598,1.124,0.7653,0.72829,0.78447,0.67024,0.68283,1.74441,1.04365,0.000855005,0.000855005,0.000855005
8,42.1827,0.74374,1.22094,1.09971,0.78341,0.85561,0.87729,0.75409,0.71455,1.50419,1.03758,0.000846006,0.000846006,0.000846006
9,47.3589,0.7488,1.13349,1.09929,0.73673,0.74856,0.83269,0.69408,0.75601,1.74166,1.06596,0.000837007,0.000837007,0.000837007
10,52.4322,0.72503,1.04501,1.08453,0.8032,0.71571,0.81562,0.69194,0.65438,1.68327,1.01072,0.000828008,0.000828008,0.000828008
11,57.5937,0.72989,1.03764,1.09258,0.86116,0.8035,0.89835,0.76129,0.6644,1.34325,1.00212,0.000819009,0.000819009,0.000819009
12,62.7968,0.71149,1.0115,1.08892,0.86647,0.90279,0.94281,0.82459,0.63285,1.21157,0.9723,0.00081001,0.00081001,0.00081001
13,67.9627,0.68754,0.98963,1.06516,0.92977,0.89426,0.95231,0.83527,0.59174,1.02385,0.95475,0.000801011,0.000801011,0.000801011
