epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.36673,0.88615,3.47273,1.28,0.01563,0.86364,0.23768,0.2118,0.54096,3.90328,1.0007,0.00026361,0.00026361,0.00026361
2,12.062,0.85233,2.92492,1.19853,0.00681,0.88636,0.38958,0.32786,0.70164,3.66505,1.0844,0.000531001,0.000531001,0.000531001
3,17.6329,0.85051,2.26202,1.1812,0.61024,0.40313,0.33408,0.26087,0.77085,3.29538,1.18017,0.000792992,0.000792992,0.000792992
4,23.5889,0.87327,1.87827,1.18834,0.53551,0.23051,0.27542,0.174,1.13072,3.62842,1.38978,0.000882003,0.000882003,0.000882003
5,29.1667,0.87404,1.60663,1.16125,0.67807,0.35476,0.47465,0.31483,1.07681,3.25631,1.38953,0.000873004,0.000873004,0.000873004
6,34.7729,0.83855,1.43197,1.13539,0.79763,0.74038,0.87407,0.72135,0.72338,1.86031,1.10332,0.000864004,0.000864004,0.000864004
7,40.4622,0.80571,1.38208,1.14086,0.76142,0.72684,0.83647,0.68708,0.73134,1.83765,1.11046,0.000855005,0.000855005,0.000855005
8,45.9602,0.75981,1.26305,1.10578,0.78608,0.84133,0.87718,0.74622,0.65273,1.51802,1.03343,0.000846006,0.000846006,0.000846006
9,51.5077,0.74451,1.18617,1.09555,0.82361,0.72137,0.84564,0.7329,0.61716,1.52458,0.99336,0.000837007,0.000837007,0.000837007
10,57.0489,0.75005,1.13814,1.0915,0.84156,0.81792,0.89236,0.76863,0.64245,1.43353,1.03113,0.000828008,0.000828008,0.000828008
11,62.6375,0.7399,1.15826,1.09282,0.83067,0.88014,0.92587,0.78207,0.70133,1.3524,1.05544,0.000819009,0.000819009,0.000819009
12,68.2778,0.73395,1.07941,1.10217,0.90501,0.82094,0.91128,0.77976,0.64826,1.2526,1.00924,0.00081001,0.00081001,0.00081001
13,74.0414,0.7363,1.02235,1.0821,0.89503,0.91157,0.95934,0.82404,0.60607,1.06567,0.9873,0.000801011,0.000801011,0.000801011
14,79.637,0.70004,0.95269,1.06562,0.82771,0.77141,0.87718,0.7267,0.69477,1.43346,1.05843,0.000792012,0.000792012,0.000792012
15,85.1978,0.71615,0.94658,1.07521,0.77885,0.72202,0.78444,0.69021,0.58625,1.55487,0.97807,0.000783013,0.000783013,0.000783013
