pipeline,total_input_frames,main_model_inferences,filtered_bad_frames,energy_savings_proxy(%)
Without Quality-Gate (Baseline),1266,1266,0,0.0%
With Quality-Gate (tau=0.6),1266,1266,0,0.00%
