epoch,loss_total,loss_detection,loss_photo,lr_detector,time_sec
1,46.6939,46.4862,0.2077,0.0004,580.45
2,33.728,33.5181,0.2099,0.0007,574.65
3,29.537,29.323,0.214,0.001,573.63
4,22.0169,21.8212,0.1957,0.00099974,574.54
5,17.9452,17.7515,0.1937,0.00099896,573.9
6,15.2397,15.0393,0.2004,0.00099767,556.11
7,13.8393,13.65,0.1893,0.00099585,553.91
8,12.4832,12.3026,0.1805,0.00099352,573.75
9,11.6327,11.4543,0.1784,0.00099068,574.46
10,10.8582,10.6815,0.1767,0.00098733,573.4
11,10.2697,10.1004,0.1692,0.00098348,573.58
12,10.1005,9.9305,0.17,0.00097912,572.24
13,9.7487,9.5821,0.1666,0.00097426,573.89
14,9.4847,9.3181,0.1666,0.00096892,572.63
